customer_id,signup_date,home_store_id,tier
1,2026-06-04,1003,Silver
2,2026-06-13,1002,Bronze
3,2025-10-17,1002,Bronze
4,2026-02-11,1001,Silver
5,2026-01-13,1001,Silver
6,2026-08-03,1002,Bronze
7,2026-04-22,1001,Bronze
8,2026-06-26,1007,Bronze
9,2026-02-08,1008,Bronze
10,2025-11-22,1005,Silver
11,2026-03-21,1004,Bronze
12,2025-09-24,1006,Bronze
13,2026-06-28,1011,Bronze
14,2026-04-18,1010,Gold
15,2026-06-03,1001,Bronze
16,2026-01-07,1002,Silver
17,2026-08-19,1003,Silver
18,2026-07-22,1003,Bronze
19,2026-06-10,1007,Bronze
20,2025-11-10,1005,Bronze
21,2026-02-17,1001,Bronze
22,2025-09-16,1005,Silver
23,2025-10-27,1007,Bronze
24,2026-05-06,1001,Bronze
25,2026-05-29,1010,Bronze
26,2026-08-18,1001,Bronze
27,2025-12-28,1011,Gold
28,2026-01-13,1001,Bronze
29,2026-02-18,1010,Bronze
30,2025-11-08,1011,Bronze
31,2025-10-18,1012,Silver
32,2026-02-20,1010,Bronze
33,2025-11-22,1009,Silver
34,2026-05-02,1008,Bronze
35,2026-02-06,1009,Bronze
36,2026-06-30,1002,Bronze
37,2026-05-13,1007,Bronze
38,2025-12-23,1007,Silver
39,2026-06-30,1010,Bronze
40,2026-06-20,1006,Bronze
41,2026-01-19,1005,Bronze
42,2025-12-14,1008,Bronze
43,2026-05-06,1003,Bronze
44,2025-10-21,1002,Bronze
45,2025-11-12,1006,Gold
46,2025-09-03,1005,Silver
47,2026-06-13,1003,Bronze
48,2026-04-30,1004,Silver
49,2026-05-14,1004,Bronze
50,2026-06-11,1004,Silver
51,2026-02-14,1005,Bronze
52,2026-03-26,1008,Silver
53,2025-10-21,1003,Bronze
54,2025-10-12,1012,Silver
55,2026-05-01,1011,Bronze
56,2026-02-19,1006,Bronze
57,2026-03-25,1004,Bronze
58,2026-06-05,1007,Silver
59,2026-04-19,1010,Bronze
60,2026-03-20,1008,Bronze
61,2026-03-22,1010,Bronze
62,2025-12-20,1007,Bronze
63,2025-09-12,1008,Bronze
64,2026-02-06,1003,Silver
65,2025-11-17,1009,Bronze
66,2026-01-27,1002,Bronze
67,2026-07-07,1008,Bronze
68,2025-11-24,1010,Bronze
69,2025-09-22,1002,Bronze
70,2025-12-12,1007,Silver
71,2025-12-16,1001,Silver
72,2026-04-29,1009,Gold
73,2026-03-22,1001,Bronze
74,2026-06-12,1011,Bronze
75,2026-04-30,1002,Silver
76,2026-01-26,1012,Silver
77,2026-06-23,1010,Bronze
78,2025-10-31,1007,Gold
79,2025-09-09,1009,Silver
80,2025-10-03,1010,Gold
81,2026-05-21,1011,Bronze
82,2026-02-15,1003,Silver
83,2025-10-29,1007,Bronze
84,2026-03-01,1001,Bronze
85,2025-10-26,1007,Silver
86,2026-05-11,1002,Gold
87,2026-02-09,1007,Gold
88,2026-01-17,1007,Bronze
89,2025-12-19,1006,Silver
90,2026-04-17,1007,Silver
91,2026-01-10,1009,Bronze
92,2025-10-02,1010,Bronze
93,2025-10-13,1006,Bronze
94,2026-08-16,1007,Bronze
95,2026-07-27,1011,Bronze
96,2026-05-12,1002,Gold
97,2025-12-06,1002,Silver
98,2026-08-18,1001,Silver
99,2026-06-10,1008,Bronze
100,2026-05-19,1005,Silver
101,2026-02-11,1009,Bronze
102,2025-12-08,1008,Silver
103,2025-10-05,1004,Gold
104,2026-07-25,1011,Silver
105,2026-02-13,1009,Silver
106,2025-11-13,1003,Bronze
107,2025-12-21,1004,Bronze
108,2026-03-30,1004,Bronze
109,2025-11-04,1002,Bronze
110,2026-07-08,1002,Bronze
111,2026-06-03,1011,Bronze
112,2026-05-20,1005,Silver
113,2026-02-04,1005,Silver
114,2026-04-16,1009,Silver
