store_id,store_name,region,format,opened_date
1001,Manchester Deansgate,North West,High street,2015-10-02
1002,Liverpool One,North West,High street,2021-07-06
1003,Leeds Briggate,Yorkshire,High street,2020-07-04
1004,Newcastle Grainger St,North East,High street,2018-09-10
1005,Birmingham New St,Midlands,Travel,2018-08-23
1006,Nottingham Market Sq,Midlands,High street,2022-03-23
1007,London Bank,London,High street,2015-09-22
1008,London Victoria,London,Travel,2020-11-13
1009,Reading Oracle,South East,High street,2016-09-11
1010,Bristol Cabot Circus,South West,High street,2015-10-17
1011,Glasgow Buchanan St,Scotland,High street,2019-06-06
1012,M1 Membury Services,South East,Drive-thru,2023-03-18
